Timestamp,Location,Vehicle Count,Avg Speed,Density
2025-04-09 19:18:32.037296,Jaydev Vihar,51,48,29.68
2025-04-09 19:18:32.037296,Rupali Square,69,41,44.83
2025-04-09 19:18:32.037296,CRP Square,76,56,77.94
2025-04-09 19:18:42.043735,Jaydev Vihar,17,63,29.04
2025-04-09 19:18:42.055363,Rupali Square,99,27,105.9
2025-04-09 19:18:42.058669,CRP Square,54,20,60.59
2025-04-09 19:18:52.061041,Jaydev Vihar,27,39,39.55
2025-04-09 19:18:52.072345,Rupali Square,92,25,51.94
2025-04-09 19:18:52.074139,CRP Square,136,41,174.92
2025-04-09 19:19:02.078301,Jaydev Vihar,104,65,68.75
2025-04-09 19:19:02.090224,Rupali Square,11,34,12.59
2025-04-09 19:19:02.094088,CRP Square,30,25,25.99
2025-04-09 19:19:12.096364,Jaydev Vihar,92,32,62.1
2025-04-09 19:19:12.096364,Rupali Square,131,71,70.06
2025-04-09 19:19:12.096364,CRP Square,78,50,145.56
2025-04-09 19:19:22.101094,Jaydev Vihar,69,29,36.1
2025-04-09 19:19:22.102103,Rupali Square,58,78,46.52
2025-04-09 19:19:22.103176,CRP Square,113,41,128.89
2025-04-09 19:19:32.107471,Jaydev Vihar,97,74,143.88
2025-04-09 19:19:32.108598,Rupali Square,55,78,31.43
2025-04-09 19:19:32.108598,CRP Square,117,30,74.69
2025-04-09 19:19:42.111185,Jaydev Vihar,32,46,42.67
2025-04-09 19:19:42.111185,Rupali Square,91,48,56.27
2025-04-09 19:19:42.111185,CRP Square,123,22,86.61
2025-04-09 19:19:52.114842,Jaydev Vihar,14,56,13.01
2025-04-09 19:19:52.114842,Rupali Square,13,51,12.04
2025-04-09 19:19:52.114842,CRP Square,26,55,15.59
2025-04-09 19:20:02.124832,Jaydev Vihar,142,50,143.81
2025-04-09 19:20:02.126077,Rupali Square,98,21,60.34
2025-04-09 19:20:02.127081,CRP Square,47,36,62.85
2025-04-09 19:20:12.128515,Jaydev Vihar,83,23,69.62
2025-04-09 19:20:12.129535,Rupali Square,104,79,102.87
2025-04-09 19:20:12.130534,CRP Square,102,63,103.4
2025-04-09 19:20:22.131860,Jaydev Vihar,45,71,32.72
2025-04-09 19:20:22.133866,Rupali Square,143,24,151.36
2025-04-09 19:20:22.135215,CRP Square,96,68,68.36
2025-04-09 19:20:32.137015,Jaydev Vihar,110,76,65.51
